org_id,label,classification
6802,AfD,Organization
6803,Die PARTEI,Organization
6804,DSB,Organization
6805,VMRO,Organization
6806,SLD,Organization
6807,Freie Wähler,Organization
6808,Die Tierschutzpartei,Organization
6809,SaS,Organization
6810,SD,Organization
6811,PODEMOS,Organization
6812,EH BILDU,Organization
6813,CS,Organization
6814,PASOK - Olive Tree,Organization
6815,SLS,Organization
6816,PSC-PSOE,Organization
6817,PCP,Organization
6818,KDNP,Organization
6819,Ind.,Organization
6820,PNV,Organization
6821,MoDem,Organization
6822,Bezpartyjna,Organization
6823,Independent,Organization
6824,HKS,Organization
6825,Ind.,Organization
6826,Independent,Organization
6827,Les Républicains,Organization
6828,Independiente,Organization
6829,Darbo partija,Organization
6830,PPU,Organization
6831,FdL,Organization
6832,DCE,Organization
6833,Independent,Organization
6834,Independent,Organization
6835,STAN,Organization
6836,Independent,Organization
6837,Ind.,Organization
6838,LKR,Organization
6839,EM,Organization
6840,Parti Radical,Organization
6841,Indépendant,Organization
6842,Agir,Organization
6843,Ind.,Organization
6844,BNG,Organization
6845,PRAVO I PRAVDA,Organization
6846,MRSL,Organization
6847,TISZA,Organization
6848,RN,Organization
6849,PP,Organization
6850,BSW,Organization
6851,BBB,Organization
6852,I,Organization
6853,-,Organization
6854,MHM,Organization
6855,LaREM/MoDEM,Organization
6856,Konfederacja,Organization
6857,PLUS,Organization
6858,PROR,Organization
6859,V,Organization
6860,PVDA-PTB,Organization
6861,Wiosna,Organization
6862,PIR,Organization
6863,Enhedslisten,Organization
6864,SPD,Organization
6865,USR-PLUS,Organization
6866,PAN,Organization
6867, LMŠ,Organization
6868,MOM,Organization
6869,IFC,Organization
6870,L,Organization
6871,VOX,Organization
6872,USR,Organization
6873,RPS,Organization
6874,PS,Organization
6875,Les centristes,Organization
6876,KINAL,Organization
6877,EKRE,Organization
6878,LFI,Organization
6879,CDS-PP,Organization
6880,ND,Organization
6881,ŽZ,Organization
6882,GRS,Organization
6883,Gods,Organization
6884,SE,Organization
6885,Italia Viva,Organization
6886,JUNTS-UE,Organization
6887,GO,Organization
6888,Azione,Organization
6889,ANTICAPITALISTAS,Organization
6890,PRP,Organization
6891,Ind.,Organization
6892,MDD,Organization
6893,PL2050,Organization
6894,SIT,Organization
6895,HREP,Organization
6896,E.Verde,Organization
6897,JA21,Organization
6898,Hrast,Organization
6899,NL,Organization
6900,Independent,Organization
6901,Patriot,Organization
6902,R,Organization
6903,LesEng,Organization
